products
barley barley
hop hops
ale ale 1
wool wool
cloth cloth 2
cocoa cocoa
chocolate chocolate 10
spice spices 6
silk silk 7
tea tea 3
cane cane
sugar sugar 2

ports
London .1 1000
Lyons .1 1000
Cologne .1 1000
Antwerp .1 1000
Bristol .1 1000
Hamburg .1 1000
Danzig .1 1000
Augsburg .1 1000
Venice .1 1000
Genoa .1 1000
Naples .1 1000
Barcelona .1 1000
Cadiz .1 1000
Lisbon .1 1000
Bergen .1 1000
Paris .1 1000

distances
London Danzig 8
London Hamburg 6
London Bristol 6
London Antwerp 2
London Lisbon 11
London Bergen 5
London Cologne 6
Lyons Genoa 3
Lyons Barcelona 3
Lyons Paris 2
Lyons Cologne 3
Cologne Danzig 12
Cologne Hamburg 9
Cologne Augsburg 3
Cologne Bristol 10
Cologne Antwerp 5
Cologne Lisbon 15
Cologne Bergen 9
Cologne Cologne 1
Cologne Lyons 3
Cologne London 6
Antwerp Danzig 8
Antwerp Hamburg 5
Antwerp Bristol 6
Antwerp Lisbon 11
Antwerp Bergen 5
Antwerp Paris 2
Antwerp Cologne 5
Antwerp London 2
Bristol Danzig 12
Bristol Hamburg 10
Bristol Antwerp 6
Bristol Lisbon 15
Bristol Bergen 9
Bristol Cologne 10
Bristol London 6
Hamburg Danzig 12
Hamburg Bristol 10
Hamburg Antwerp 5
Hamburg Lisbon 15
Hamburg Bergen 9
Hamburg Cologne 9
Hamburg London 6
Danzig Hamburg 12
Danzig Bristol 12
Danzig Antwerp 8
Danzig Lisbon 17
Danzig Bergen 11
Danzig Cologne 12
Danzig London 8
Augsburg Venice 2
Augsburg Cologne 3
Venice Augsburg 2
Venice Genoa 14
Venice Naples 13
Venice Barcelona 14
Venice Cadiz 18
Genoa Venice 14
Genoa Naples 14
Genoa Barcelona 16
Genoa Cadiz 19
Genoa Lyons 3
Naples Venice 13
Naples Genoa 14
Naples Barcelona 15
Naples Cadiz 18
Barcelona Venice 14
Barcelona Genoa 16
Barcelona Naples 15
Barcelona Cadiz 20
Barcelona Lyons 3
Cadiz Venice 18
Cadiz Genoa 19
Cadiz Naples 18
Cadiz Barcelona 20
Cadiz Lisbon 3
Lisbon Danzig 17
Lisbon Hamburg 15
Lisbon Bristol 15
Lisbon Antwerp 11
Lisbon Cadiz 3
Lisbon Bergen 14
Lisbon Cologne 15
Lisbon London 11
Bergen Danzig 11
Bergen Hamburg 9
Bergen Bristol 9
Bergen Antwerp 5
Bergen Lisbon 14
Bergen Cologne 9
Bergen London 5
Paris Antwerp 2
Paris Lyons 2
